"ID","Título","ISBN","autor","ilustrador","Fecha publicacion"
"34cfa228-7e37-4812-9f28-44ec4151ddbc","Lobo","ISBN 978-987-47041-0-8","[""ece5eeef-af4b-4a3b-a110-2fc60d2f31a9""]","c966e179-b965-473e-bf12-e9876ee24bca","2018-12-15"
"35bef3fc-329d-4e02-b2f2-d43fd977d98c","Gato enojado no caza ratones","ISBN 978-987-47041-2-2","[""70cdb0c5-e66a-4c07-9ead-bfaeaa1965c4""]","b09a2658-6fd0-4fa4-9577-d6cf51c26428","2019-07-15"
"37710305-66cb-4c53-b4dd-56a482e6af6b","Canciones faunas","ISBN 978987-4765161","[""50314af9-2a2a-43d4-970b-43d990890755""]","ec0058c4-b1e1-41ac-8e66-f55120ea69db","2021-02-15"
"427a5bc7-e428-44cb-a068-806144006a4a","Los Raros","ISBN 978-987-46593-0-9","[""f38a395b-07c8-4723-aa31-33cc5537dca8""]","60a25fd8-0718-4f76-a774-7857cad8fef4","2017-08-15"
"45a1bb0d-70fb-4787-9c1a-70b6f9265464","¿Qué es? ¿Dónde está? Rosenberg","ISBN 978-987-42-4510-6","[""c966e179-b965-473e-bf12-e9876ee24bca""]","c966e179-b965-473e-bf12-e9876ee24bca","2016-12-15"
"4b1b814a-66be-4a54-89d3-432025963fa5","Paren de pisar a ese gato","ISBN 978-987-46593-7-8","[""ec8cb1fb-27f3-4146-9d10-767ac90cef97""]","c966e179-b965-473e-bf12-e9876ee24bca","2016-02-15"
"5188857c-3df1-4a9c-bafe-c5a7a858ad1d","El Carromato filarmónico","ISBN 978-987-42-0109-6","[""00000000-0000-0000-0000-000000000002""]","00000000-0000-0000-0000-000000000005","2016-07-15"
"5caaa7e6-8244-4816-a07e-64ae05ef9c1d","El señor Waldemar","ISBN 978-987-4864635","[""f22618c4-09d6-47b8-abc9-f356635a3042""]","1e73be06-08c4-4430-9858-5dd8b05b0c81","2023-01-12"
"6212e802-1508-4697-b7e9-c4f98c512bf5","Los Raros VOL II","ISBN 978-987-47041-7-7","[""f38a395b-07c8-4723-aa31-33cc5537dca8""]","60a25fd8-0718-4f76-a774-7857cad8fef4","2020-05-15"
"6730c1d7-0caf-44b7-953a-4ac4674d247e","Chispero","ISBN 978978-4765178","[""00000000-0000-0000-0000-000000000004""]","00000000-0000-0000-0000-000000000001","2021-02-15"
"690f4f2f-4bde-4eba-9d79-f2ac234e280d","Diccionario enciclopédico de las cosas que nos gustan","ISBN 978-987-48646-2-8 ","[""362d6160-5677-471b-a636-fc6c56b6871b""]","59a89bbd-90c7-4976-8e99-06df9c48e6c3","2022-09-15"
"6c4885f8-4b86-4a1f-af8e-ae4e3d324017","Una vida casi redonda","ISBN 978-987-47651-9-2","[""09bcad5f-6570-4ec6-a7f1-454191c3f452""]","81075122-3939-4561-81d5-5d2dc8a1aa16","2021-05-15"
"734a4e88-66ec-4d29-b405-529c82278769","MALDELMEIL","ISBN 978-987-47041-3-9","[""76f5f4f1-ed45-4201-b6aa-1e3f22b8c9b2""]","802fffd2-6e7b-48d3-8bf9-2ddc5185f758","2020-09-01"
"7c7e6d26-eda0-45b7-b12b-d44749c4a449","Dama de corazones","ISBN 978987-4798183","[""830d5410-9734-4f5b-bc84-e6b81333b5cf""]","e0fa58cb-fe97-4d65-92fb-3f543696dd46","2022-01-15"
"7f2916f1-c246-43cc-90f4-d611c49c34d7","¿Qué es la poesía?","ISBN 978-987-46593-4-7","[""050862eb-d29d-4a82-ad5e-b3dbd1503e8c""]","78e27c1a-0764-4be7-a41f-056ffc0b487c","2018-04-01"
"8115a035-6bec-4061-aef5-74b65b1c9857","Una máquina de hacer tonterías","ISBN 978987-47-98152","[""e1322504-f908-4894-be28-ee0aaa9d6da4""]","9d311d87-bb23-43f1-beba-19749c63538a","2021-08-15"
"9145e843-cf03-4b5f-93a1-66242afcea75","Cabeza de flor","ISBN 978-987-46593-6-1","[""00000000-0000-0000-0000-000000000006""]","00000000-0000-0000-0000-000000000005","2016-07-15"
"976ff8a3-b41e-45ac-adb9-a856570657d9","Los gatos de la luna","ISBN 978-987-48646-4-2 ","[""7e7f0909-899f-4827-bab5-afececb47fc5""]","1501de39-4574-43ae-a52f-0ae3ee7b7aae","2022-11-30"
"9dcafd93-4408-44b3-b3c0-e7a0c26b9d03","Caserío","ISBN 978-987-46593-8-5","[""00000000-0000-0000-0000-000000000001""]","00000000-0000-0000-0000-000000000001","2014-07-01"
"9fa9b94d-d460-40f2-b2bd-eec8e9ffe82f","Bajó un pajarito rojo","ISBN 978-987-4765130","[""56f69e29-12ae-45c0-bd96-85dfadaf4dcc""]","19717415-339b-4e3b-8842-49dca1778e21","2018-07-01"
"ad57d572-d602-4359-b4e0-d7a0b7960ee7","Fábrica de escalofríos","ISBN 978-987-4704184","[""f22618c4-09d6-47b8-abc9-f356635a3042""]","802fffd2-6e7b-48d3-8bf9-2ddc5185f758","2021-04-01"
"b012c88c-5bbc-4594-a68c-d6a98a6dcccd","Alimañas en la casa nueva","ISBN 978-987-46593-9-2","[""ec8cb1fb-27f3-4146-9d10-767ac90cef97""]","9d311d87-bb23-43f1-beba-19749c63538a","2018-12-15"
"bc68d229-746e-4e0a-be9d-9f2609d3420b","Un hechizo pluripotente","ISBN 978-98747765185","[""ef16bf34-6326-4190-b83b-a51a4233b506"",""720f5ec5-dbc6-42ef-8c3b-a5e9ce7bcc94""]","2aaf186e-d218-4e4a-b503-75a8cb595402","2021-01-15"
"bfad2c23-4985-48c1-998e-e051b8895a3c","El Amarillo","ISBN 978-987-47041-6-0","[""00000000-0000-0000-0000-000000000006""]","643c2eb8-ff45-40b0-ba20-95ff9b216a30","2020-09-15"
"e024739e-8f02-4e1c-b556-56039cebc42a","¿Qué es? ¿Dónde está?  Greiner","ISBN 978-987-46593-2-3","[""8487efab-efa4-4fd4-912f-efd8d83c2f39""]","8487efab-efa4-4fd4-912f-efd8d83c2f39","2017-09-01"
"e23a08dc-f21e-481c-b731-fbd1c36a0054","Canción para gorilas","ISBN 978-987-42-2299-2","[""9ba4e43c-ba08-453a-80dc-e371dbe1e55e""]","e5172b45-a647-4c3d-9f94-2ae0b3eedf95","2016-12-15"
"e4e860ec-4712-4a8d-886d-72c058411fee","Latitas","ISBN 978-987-46593-1-3","[""2f06dc6a-48e8-4d92-bb78-a5194bd7ade2""]","e0fa58cb-fe97-4d65-92fb-3f543696dd46","2017-08-01"
"eb67aa96-007b-4626-8831-d92813d704f9","Circo","ISBN 978987-4798190","[""5672a61c-c38a-4164-9f64-7559282e1cb5""]","4d61e108-8acb-4462-a649-1ab2c7d190ea","2022-03-01"
"f449f463-33b3-4c20-9155-089e87f6a60e","Monte","ISBN 978-987-47651-4-7","[""c52b0da9-e148-4407-aa9c-237f8abd7414""]","78e27c1a-0764-4be7-a41f-056ffc0b487c","2020-09-21"
"f58a3687-e243-46a7-842c-02243fd548dc","Breviario","ISBN 978987-47-98169","[""bacdd470-454c-4c1d-b052-6161f21ac00d""]","6e40a05c-ba7d-4eda-85d9-257b17aa6dde","2022-01-15"
"f75de16b-1114-4b27-ad7e-d901c6a5fccb","Mi gato interior","ISBN 978-987-47981-3-8","[""cbff861c-b04f-4a29-884b-ea09d7e7bc17""]","17cf2f79-0e1c-46cc-9a13-4089cfb64797","2021-09-15"
"fd2f6941-4964-442e-bb19-d89b44e28643","Bajo una nube azul","ISBN 978987-4704191","[""e022db8d-92d1-458c-b0af-bb361b63c134""]","4d61e108-8acb-4462-a649-1ab2c7d190ea","2021-03-01"
